ID ,name ,category ,main_category ,currency ,deadline ,goal ,launched ,pledged ,state ,backers ,country ,usd pledged ,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
379677482,Fico - The World's 1st Finger Condom for your Everyday Life,Product Design,Design,EUR,2015-12-02 22:59:13,1600,2015-11-02 22:59:13,116,failed,11,FR,127.6735788,,,,
582906646,"""Legends Of Style"" - The Ultimate Fashion Book For Men.",Publishing,Publishing,USD,2013-06-23 01:59:00,150000,2013-04-24 22:03:25,31,failed,2,US,31,,,,
1872370737,CMXI watch - A true 70s sports car companion,Design,Design,NOK,2016-10-29 14:46:59,230000,2016-09-29 14:46:59,516273,successful,224,NO,16245.85696636,,,,
1184439421,"Eliza and the Organix, the debut album!",Indie Rock,Music,USD,2012-03-16 16:17:07,1200,2012-01-16 17:17:07,1245,successful,32,US,1245,,,,
393731650,Pam Ella - The RETRO SOUL & REGGAE ALBUM (Canceled),Music,Music,GBP,2014-05-31 22:00:00,30000,2014-04-02 01:34:19,605,canceled,7,GB,1006.20688135,,,,
1785047749,idBrooklyn,Art,Art,USD,2013-05-11 22:51:28,30000,2013-04-11 22:51:28,30511,successful,185,US,30511,,,,
589280692,City Map Posters reflecting your URBN city love,Graphic Design,Design,EUR,2016-07-26 08:44:00,1200,2016-06-29 08:49:38,33290,successful,623,DE,8536.95055058,,,,
84121288,"The ""Moving Out"" Project (Canceled)",Performance Art,Art,USD,2011-04-29 18:00:00,2700,2011-04-08 10:25:00,0,canceled,0,US,0,,,,
1398978856,Healthy Fun Food!,Food,Food,USD,2013-10-29 01:40:00,14000,2013-09-12 20:14:11,276,failed,10,US,276,,,,
1858314972,TOOL ARC 154° Tactical EDC 14-in-1 Multi-Tool,Product Design,Design,USD,2016-09-18 14:01:05,3000,2016-08-19 14:01:05,2541,canceled,51,US,597,,,,
573284762,Pronoun Adjustment Fasion,Apparel,Fashion,USD,2016-03-19 23:49:17,2000,2016-01-20 00:49:17,126,failed,4,US,126,,,,
92069549,Cats & Dogs & Clay. A Cartooning Extravaganza!,Comic Books,Comics,USD,2016-06-01 22:34:47,4321,2016-05-02 22:34:47,250,failed,7,US,250,,,,
1191772639,"""Holotropic"" Album by Brian Mulder",Music,Music,USD,2016-11-08 11:01:00,15000,2016-10-19 11:01:00,16006,successful,181,US,80,,,,
146008497,Project Guatemala Community Room and Mural,Public Art,Art,CAD,2015-02-17 05:00:00,5000,2015-01-21 04:08:43,441,failed,11,CA,368.30167038,,,,
1093778912,Zion National Park Musical Map,Music,Music,USD,2014-03-16 20:00:00,500,2014-03-03 15:17:36,1512,successful,88,US,1512,,,,
1934988542,Tamale Party - A tamale maker for the unorthodox!,Small Batch,Food,USD,2015-02-01 07:00:00,37000,2015-01-04 20:11:10,6015,failed,48,US,6015,,,,
1741075007,Zombie Playing Cards,Games,Games,GBP,2014-10-12 22:24:14,1200,2014-09-12 22:24:14,1620.5,successful,115,GB,2623.666911285,,,,
94111450,Pre order The new full Rainy Day Manual album: Instructions in English,Music,Music,USD,2010-10-31 01:07:00,3500,2010-08-16 01:09:48,3755,successful,48,US,3755,,,,
655477406,"Kathleen Grace THE NEW RECORD ""No Place to Fall""",Country & Folk,Music,USD,2013-08-17 08:59:00,8000,2013-07-17 02:02:37,9101.33,successful,151,US,9101.33,,,,
856730753,Lucy Grimble & band. LIVE ALBUM.,Faith,Music,GBP,2016-07-28 00:33:36,10000,2016-06-18 00:33:36,10617,successful,115,GB,4368.8438948,,,,
568471425,Home When the Raven's Gone,Narrative Film,Film & Video,USD,2013-02-10 15:29:10,500,2013-01-01 15:29:10,10,failed,1,US,10,,,,
714071840,Material Things - a short science fiction film,Science Fiction,Film & Video,USD,2014-11-28 03:50:03,500,2014-10-29 02:50:03,280,failed,3,US,280,,,,
2117041990,Staci's Steak Shop - Fun Brand New Exciting Gaming APP,Mobile Games,Games,USD,2014-07-04 18:36:07,2500,2014-06-04 18:36:07,25,failed,1,US,25,,,,
1230695768,Shades of Hate - Trumped Up Posters,Graphic Design,Design,USD,2016-10-15 00:00:00,375,2016-09-30 23:42:22,236,failed,14,US,186,,,,
1147450757,Ear-O-Smart,Wearables,Technology,CAD,2014-12-28 13:57:09,30000,2014-11-13 13:57:09,12015,failed,89,CA,10585.8191142,,,,
769389635,STEEL DRUM ALBUM - FREDDY HARRIS III,World Music,Music,USD,2013-03-27 04:59:22,5000,2013-02-25 05:59:22,55,failed,4,US,55,,,,
1352757661,Help Produce Cami Lundeen's Debut Album,Pop,Music,USD,2013-04-01 21:00:00,15000,2013-02-20 18:37:53,16136,successful,178,US,16136,,,,
1573648522,RIGHTEOUS COMICS,Comic Books,Comics,USD,2015-07-06 23:03:18,1400,2015-05-07 23:03:18,16,failed,2,US,16,,,,
1668011995,Regius Playing Cards (Canceled),Playing Cards,Games,GBP,2015-04-20 01:25:03,7000,2015-03-21 00:25:03,404,canceled,38,GB,602.94098068,,,,
899272863,Sanguinem,Horror,Film & Video,EUR,2016-03-19 14:20:28,3500,2016-02-18 15:20:28,1,failed,1,AT,1.11493907,,,,
1159615187,Mason Jar Joe cold brewed coffee maker steeps in mason jars,Product Design,Design,USD,2014-02-21 16:20:13,21777,2014-01-22 16:20:13,1355,failed,61,US,1355,,,,
1769435977,The Song Plays On,Drama,Film & Video,GBP,2015-08-30 11:37:57,500,2015-07-31 11:37:57,1020,successful,26,GB,1591.7925894,,,,
851455615,Heinous Goods,Fashion,Fashion,AUD,2014-02-14 11:52:25,600,2014-01-20 11:52:25,50,failed,1,AU,43.902396,,,,
