sha1,file_extension,EntryPoint,PEType,MachineType,magic_number,bytes_on_last_page,pages_in_file,relocations,size_of_header,min_extra_paragraphs,max_extra_paragraphs,init_ss_value,init_sp_value,init_ip_value,init_cs_value,over_lay_number,oem_identifier,address_of_ne_header,Magic,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,OperatingSystemVersion,ImageVersion,SizeOfImage,SizeOfHeaders,Checksum,Subsystem,DllCharacteristics,SizeofStackReserve,SizeofStackCommit,SizeofHeapCommit,SizeofHeapReserve,LoaderFlags,text_VirtualSize,text_VirtualAddress,text_SizeOfRawData,text_PointerToRawData,text_PointerToRelocations,text_PointerToLineNumbers,text_Characteristics,rdata_VirtualSize,rdata_VirtualAddress,rdata_SizeOfRawData,rdata_PointerToRawData,rdata_PointerToRelocations,rdata_PointerToLineNumbers,rdata_Characteristics,registry_read,registry_write,registry_delete,registry_total,network_threats,network_dns,network_http,network_connections,processes_malicious,processes_suspicious,processes_monitored,total_procsses,files_malicious,files_suspicious,files_text,files_unknown,dlls_calls,apis,Class,Category,Family
7e89a31bbcbc780f3e2adc777995501f86079d6e,exe,0x34a4,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0004,0x0000,0x0000,0xFFFF,0x0000,0x008B,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,401408,4096,569344,0x000ED800,573440,974848,4194304,4096,512,4,0,978944,4096,0,IMAGE_SUBSYSTEM_WINDOWS_CUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",1048576,4096,4096,1048576,0,0x00478419,0x00001000,0x00478600,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x004B3994,0x0047A000,0x004B3A00,0x00478A00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",123.0,0.0,0.0,123.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Benign,Benign
56c47aaf6d8c170ed6a9ef4860afafe42756204e,exe,0x1e792,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x003C8000,0x00029000,0x00000000,0x003C9F2E,0x00002000,0x003CA000,0x00400000,0x00002000,0x00000200,4,0,0x003F6000,0x00000200,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x003C7F34,0x00002000,0x003C8000,0x00000200,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000139A,0x00008000,0x00001400,0x00006C00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",1336.0,8.0,1.0,1345.0,0.0,16.0,0.0,7.0,2.0,0.0,4.0,44.0,2.0,4.0,4.0,0.0,0.0,0.0,Malware,RAT,NanoCore
6dc6c8d725fd021747decb879d21ee5bc324ee49,exe,0x2fa7,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x000000E0,PE32,0x00008600,0x00003E00,0x00000000,0x00002FA7,0x00001000,0x0000A000,0x00400000,0x00001000,0x00000200,5.1,0,0x00013000,0x00000400,0x0000F779,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00008598,0x00001000,0x00008600,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00000E7C,0x0000A000,0x00001000,0x00008A00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",375.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,4.0,2.0,15.0,60.0,4.0,214.0,1.0,45.0,9.0,111.0,Malware,Ransomware,Phobos
4100b839d867b252ffa991f91fb9e403b8e41256,exe,0xf0ee8,PE32,"Intel 386 or later, and compatibles",MZ,0x0050,0x0002,0x0000,0x0004,0x000F,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x001A,0x0000,0x00000100,PE32,0x000EF400,0x000E2200,0x00000000,0x000F0EE8,0x00001000,0x000F1000,0x00400000,0x00001000,0x00000200,5,0,0x001DD000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00004000,0x00001000,0x00100000,0x00000000,0x000EE250,0x00001000,0x000EE400,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00000018,0x00104000,0x00000200,0x000F9A00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",17.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,0.0,11.0,199.0,Benign,Benign,Benign
2d1f8f0c5725518fdfdcd2fca877478bec08682a,exe,0xabb23c,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x003D1600,0x002E6000,0x00000000,0x00ABB23C,0x00001000,0x003D3000,0x00400000,0x00001000,0x00000200,6,0,0x00E74000,0x00000400,0x005F877D,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x003D15C3,0x00001000,0x00000000,0x00000000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x001F996E,0x003D3000,0x00000000,0x00000000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,0.0,0.0,0.0,0.0,4.0,4.0,Benign,Benign,Benign
94cb7c36271acf79903d163877bb6115f6db30d3,exe,0x11da0b,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000110,PE32,0x00163000,0x00080C00,0x00000000,0x0011DA0B,0x00001000,0x00164000,0x00400000,0x00001000,0x00000200,6,0,0x001CC000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00163000,0x00001000,0x00163000,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00054000,0x00164000,0x00053200,0x00163400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",880.0,0.0,0.0,1009.0,0.0,5.0,9.0,12.0,4.0,0.0,7.0,47.0,0.0,4.0,6.0,0.0,16.0,571.0,Malware,RAT,Ursnif
149599b20be1ffd1d62b9c4db81ae4972e2df869,exe,0x1d200a,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x0028E800,0x0002DA00,0x00000000,0x001D200A,0x00030000,0x00002000,0x00490000,0x00002000,0x00000200,4,0,0x002CC000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x0000B460,0x002C0000,0x0000B600,0x002B1000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00022BF6,0x0004F000,0x00022C00,0x0004DE00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",28.0,0.0,0.0,28.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,1.0,1.0,Benign,Benign,Benign
9c62a63793080953ed33ea946810ab75c3cabac3,exe,0x394a,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x00000080,PE32,0x000EAE00,0x0001DA00,0x00000000,0x0000394A,0x00001000,0x000EC000,0x00400000,0x00001000,0x00000200,4,0,0x0010A000,0x00000400,0x0010BE29,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x000BA1BC,0x00001000,0x000BA200,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000001C,0x000BC000,0x00000200,0x000BA600,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",70.0,4.0,0.0,74.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,43.0,2.0,4.0,0.0,0.0,18.0,47.0,Malware,Trojan,Qbot
66483e53611f00fbade1a0ea62e6e572165e135b,exe,0x3645,PE32,"Intel 386 or later, and compatibles",MZ,0x0090,0x0003,0x0000,0x0004,0x0000,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x0000,0x0000,0x000000D8,PE32,0x00006800,0x00022A00,0x00000800,0x00003640,0x00001000,0x00008000,0x00400000,0x00001000,0x00000200,4,6,0x0003C000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00001000,0x00001000,0x00100000,0x00000000,0x00006676,0x00001000,0x00006800,0x00000400,0x00000000,0x00000000,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x0000139A,0x00008000,0x00001400,0x00006C00,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ']",672.0,0.0,0.0,672.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,35.0,1.0,2.0,0.0,0.0,0.0,0.0,Malware,Stealer,Formbook
ceb31f102bd5d5bf63da93db0c44936b411de2e0,exe,0x91ea8,PE32,"Intel 386 or later, and compatibles",MZ,0x0050,0x0002,0x0000,0x0004,0x000F,0xFFFF,0x0000,0x00B8,0x0000,0x0000,0x001A,0x0000,0x00000100,PE32,0x00091000,0x0003E400,0x00000000,0x00091EA8,0x00001000,0x00092000,0x00400000,0x00001000,0x00000200,4,0,0x000D6000,0x00000400,0x00000000,IMAGE_SUBSYSTEM_WINDOWS_GUI,"['IMAGE_DLLCHARACTERISTICS_DYNAMIC_BASE', 'IMAGE_DLLCHARACTERISTICS_HIGH_ENTROPY_VA', 'IMAGE_DLLCHARACTERISTICS_NO_SEH', 'IMAGE_DLLCHARACTERISTICS_NX_COMPAT', 'IMAGE_DLLCHARACTERISTICS_TERMINAL_SERVER_AWARE']",0x00100000,0x00004000,0x00001000,0x00100000,0x00000000,3956,8192,4096,512,0,0,"['IMAGE_SCN_CNT_CODE', 'IMAGE_SCN_MEM_EXECUTE', 'IMAGE_SCN_MEM_READ']",0x00000018,0x0009E000,0x00000200,0x0009A000,0x00000000,0x00000000,"['IMAGE_SCN_CNT_INITIALIZED_DATA', 'IMAGE_SCN_MEM_READ', 'IMAGE_SCN_MEM_SHARED']",20.0,0.0,0.0,36.0,0.0,8.0,0.0,19.0,2.0,0.0,2.0,35.0,0.0,0.0,5.0,0.0,9.0,164.0,Malware,RAT,Remcos
