function_name,code,language,lines_of_code,cyclomatic_complexity,token_count,num_ifs,num_returns,num_func_calls,ast_nodes,defect
go_func_0,"func add(a int, b int) int { return a + b }",go,2,2,12,0,1,1,12,0
python_func_1,"def add(a, b): return a + b",python,2,5,12,0,1,0,12,0
c_func_2,"int divide(int a, int b) { return a / b; }",c,3,4,11,0,1,1,11,1
cpp_func_3,"int add(int a, int b) { return a + b; }",cpp,6,5,11,0,1,1,11,0
cpp_func_4,"int add(int a, int b) { return a + b; }",cpp,2,3,11,0,1,1,11,0
c_func_5,"int divide(int a, int b) { return a / b; }",c,4,4,11,0,1,1,11,1
go_func_6,"func divide(a int, b int) int { return a / b }",go,5,4,12,0,1,1,12,1
rust_func_7,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,4,5,12,0,0,1,12,1
java_func_8,"public int divide(int a, int b) { return a / b; }",java,1,3,12,0,1,1,12,1
rust_func_9,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,5,1,12,0,0,1,12,1
rust_func_10,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,4,2,12,0,0,1,12,1
java_func_11,"public int divide(int a, int b) { return a / b; }",java,3,2,12,0,1,1,12,1
python_func_12,"def divide(a, b): return a / b",python,5,5,12,0,1,0,12,1
python_func_13,"def add(a, b): return a + b",python,3,1,12,0,1,0,12,0
rust_func_14,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,2,5,12,0,0,1,12,1
cpp_func_15,"int add(int a, int b) { return a + b; }",cpp,2,5,11,0,1,1,11,0
python_func_16,"def add(a, b): return a + b",python,4,5,12,0,1,0,12,0
java_func_17,"public int divide(int a, int b) { return a / b; }",java,5,1,12,0,1,1,12,1
c_func_18,"int add(int a, int b) { return a + b; }",c,1,4,11,0,1,1,11,0
c_func_19,"int add(int a, int b) { return a + b; }",c,6,3,11,0,1,1,11,0
java_func_20,"public int add(int a, int b) { return a + b; }",java,3,4,12,0,1,1,12,0
python_func_21,"def add(a, b): return a + b",python,5,5,12,0,1,0,12,0
java_func_22,"public int divide(int a, int b) { return a / b; }",java,3,1,12,0,1,1,12,1
java_func_23,"public int add(int a, int b) { return a + b; }",java,3,4,12,0,1,1,12,0
cpp_func_24,"int divide(int a, int b) { return a / b; }",cpp,4,2,11,0,1,1,11,1
c_func_25,"int add(int a, int b) { return a + b; }",c,3,4,11,0,1,1,11,0
java_func_26,"public int add(int a, int b) { return a + b; }",java,3,5,12,0,1,1,12,0
c_func_27,"int divide(int a, int b) { return a / b; }",c,6,2,11,0,1,1,11,1
go_func_28,"func add(a int, b int) int { return a + b }",go,6,5,12,0,1,1,12,0
python_func_29,def read_file(name): file = open(name); return file.read(),python,4,1,18,0,1,2,18,1
c_func_30,"int divide(int a, int b) { return a / b; }",c,1,5,11,0,1,1,11,1
java_func_31,"public int add(int a, int b) { return a + b; }",java,3,3,12,0,1,1,12,0
javascript_func_32,"function add(a, b) { return a + b; }",javascript,6,1,9,0,1,1,9,0
python_func_33,def read_file(name): file = open(name); return file.read(),python,4,4,18,0,1,2,18,1
rust_func_34,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,3,2,12,0,0,1,12,0
go_func_35,"func add(a int, b int) int { return a + b }",go,1,3,12,0,1,1,12,0
go_func_36,"func add(a int, b int) int { return a + b }",go,1,3,12,0,1,1,12,0
go_func_37,"func add(a int, b int) int { return a + b }",go,4,1,12,0,1,1,12,0
cpp_func_38,"int add(int a, int b) { return a + b; }",cpp,6,2,11,0,1,1,11,0
go_func_39,"func add(a int, b int) int { return a + b }",go,2,5,12,0,1,1,12,0
javascript_func_40,"function add(a, b) { return a + b; }",javascript,6,2,9,0,1,1,9,0
javascript_func_41,"function divide(a, b) { return a / b; }",javascript,1,4,9,0,1,1,9,1
rust_func_42,"fn add(a: i32, b: i32) -> i32 { a + b }",rust,6,1,12,0,0,1,12,0
python_func_43,def read_file(name): file = open(name); return file.read(),python,1,1,18,0,1,2,18,1
cpp_func_44,"int add(int a, int b) { return a + b; }",cpp,6,1,11,0,1,1,11,0
python_func_45,"def add(a, b): return a + b",python,6,2,12,0,1,0,12,0
javascript_func_46,"function divide(a, b) { return a / b; }",javascript,5,5,9,0,1,1,9,1
c_func_47,"int add(int a, int b) { return a + b; }",c,2,3,11,0,1,1,11,0
java_func_48,"public int add(int a, int b) { return a + b; }",java,1,4,12,0,1,1,12,0
python_func_49,"def add(a, b): return a + b",python,6,5,12,0,1,0,12,0
java_func_50,"public int add(int a, int b) { return a + b; }",java,1,3,12,0,1,1,12,0
javascript_func_51,"function divide(a, b) { return a / b; }",javascript,2,1,9,0,1,1,9,1
javascript_func_52,"function add(a, b) { return a + b; }",javascript,5,1,9,0,1,1,9,0
javascript_func_53,"function divide(a, b) { return a / b; }",javascript,1,2,9,0,1,1,9,1
python_func_54,"def divide(a, b): return a / b",python,1,3,12,0,1,0,12,1
go_func_55,"func divide(a int, b int) int { return a / b }",go,4,2,12,0,1,1,12,1
c_func_56,"int divide(int a, int b) { return a / b; }",c,4,1,11,0,1,1,11,1
c_func_57,"int divide(int a, int b) { return a / b; }",c,2,2,11,0,1,1,11,1
java_func_58,"public int divide(int a, int b) { return a / b; }",java,6,4,12,0,1,1,12,1
c_func_59,"int add(int a, int b) { return a + b; }",c,3,1,11,0,1,1,11,0
go_func_60,"func add(a int, b int) int { return a + b }",go,3,3,12,0,1,1,12,0
javascript_func_61,"function add(a, b) { return a + b; }",javascript,3,5,9,0,1,1,9,0
c_func_62,"int add(int a, int b) { return a + b; }",c,4,5,11,0,1,1,11,0
java_func_63,"public int add(int a, int b) { return a + b; }",java,3,4,12,0,1,1,12,0
python_func_64,"def divide(a, b): return a / b",python,1,1,12,0,1,0,12,1
python_func_65,"def divide(a, b): return a / b",python,3,5,12,0,1,0,12,1
c_func_66,"int add(int a, int b) { return a + b; }",c,5,3,11,0,1,1,11,0
python_func_67,"def divide(a, b): return a / b",python,6,3,12,0,1,0,12,1
javascript_func_68,"function divide(a, b) { return a / b; }",javascript,5,3,9,0,1,1,9,1
go_func_69,"func add(a int, b int) int { return a + b }",go,3,4,12,0,1,1,12,0
rust_func_70,"fn divide(a: i32, b: i32) -> i32 { a / b }",rust,2,3,12,0,0,1,12,1
go_func_71,"func add(a int, b int) int { return a + b }",go,1,2,12,0,1,1,12,0
javascript_func_72,"function add(a, b) { return a + b; }",javascript,2,5,9,0,1,1,9,0
java_func_73,"public int divide(int a, int b) { return a / b; }",java,2,4,12,0,1,1,12,1
cpp_func_74,"int add(int a, int b) { return a + b; }",cpp,2,3,11,0,1,1,11,0
c_func_75,"int divide(int a, int b) { return a / b; }",c,3,1,11,0,1,1,11,1
